b_lam,b_xw,sc_s_key,sc_lam_key,C,power,r_squared
0.1,0.18500000000000003,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.18500000000000003,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.18500000000000003,x,no,1.78438496496439,0.36987780949401333,0.9523938570702424
0.1,0.18500000000000003,x,D,1.3370982177581905,0.5547372756808774,0.9999446473740273
0.1,0.18500000000000003,x,mixed,0.5881619380920468,0.9093428537392252,0.9982801031045943
0.1,0.18500000000000003,x,beta,0.613626769137183,0.8063445978463918,0.9983676605414489
0.1,0.18500000000000003,w,no,1.547060200338995,0.6442963898060556,0.9984900813375871
0.1,0.18500000000000003,w,D,1.0899758597529394,0.7707602403411373,0.9975368905982344
0.1,0.18500000000000003,w,mixed,0.5297995335134482,1.0883081619437744,0.9982958800318552
0.1,0.18500000000000003,w,beta,0.17034534610550006,1.6008911462874953,0.9255683525371727
0.1,0.18500000000000003,xw,no,1.2800562358447014,0.8727779638188297,0.9999270365868758
0.1,0.18500000000000003,xw,D,0.9473719752552581,1.0,1.0
0.1,0.18500000000000003,xw,mixed,0.5061917167470054,1.2832082619672676,0.9984239739643757
0.1,0.18500000000000003,xw,beta,0.26770118578641017,1.5596794550767492,0.9883700974216573
0.1,0.21000000000000002,,no,2.4885976858218966,0.0,0.0
0.1,0.21000000000000002,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.21000000000000002,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.21000000000000002,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.21000000000000002,x,no,1.7329293166298174,0.4258740221772952,0.9594601003875713
0.1,0.21000000000000002,x,D,1.374732788939969,0.5829558405983782,0.9999547103477101
0.1,0.21000000000000002,x,mixed,0.6380237364625869,0.9153714515545892,0.9985843183209459
0.1,0.21000000000000002,x,beta,0.6670996560461115,0.8231713440501974,0.9987007398247113
0.1,0.21000000000000002,w,no,1.7084739537012306,0.6322405664400869,0.9989629408282445
0.1,0.21000000000000002,w,D,1.1466280465950474,0.7843419705227891,0.9979225800547814
0.1,0.21000000000000002,w,mixed,0.5873803064413297,1.0791188662158688,0.998926641856488
0.1,0.21000000000000002,w,beta,0.18945986329556078,1.597064603594747,0.9394306580227358
0.1,0.21000000000000002,xw,no,1.4398083363111522,0.868013316561051,0.9999371347515685
0.1,0.21000000000000002,xw,D,1.0550409875568,1.0,1.0
0.1,0.21000000000000002,xw,mixed,0.6068362461135585,1.2495001559918348,0.9986465313349986
0.1,0.21000000000000002,xw,beta,0.329118092065293,1.5193234694496287,0.9904681733217516
0.1,0.23500000000000001,,no,2.4885976858218966,0.0,0.0
0.1,0.23500000000000001,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.23500000000000001,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.23500000000000001,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.23500000000000001,x,no,1.692883785829194,0.4773934716147837,0.9658175453846274
0.1,0.23500000000000001,x,D,1.413443653856476,0.608353564043444,0.9999461438818692
0.1,0.23500000000000001,x,mixed,0.6880485117530054,0.9209730391259779,0.9988480958346684
0.1,0.23500000000000001,x,beta,0.7182662417580395,0.8379741324042773,0.9989521381560337
0.1,0.23500000000000001,w,no,1.8560087982003475,0.6243795199085004,0.9993434972317402
0.1,0.23500000000000001,w,D,1.2012304605263837,0.7962477111974964,0.9982133126670322
0.1,0.23500000000000001,w,mixed,0.6440266572000116,1.071088127787964,0.9991834518136596
0.1,0.23500000000000001,w,beta,0.21348418870685712,1.580620745792747,0.9484389439324185
0.1,0.23500000000000001,xw,no,1.5965069127240052,0.8641568370763918,0.9999453937729081
0.1,0.23500000000000001,xw,D,1.1609241173126292,1.0,1.0
0.1,0.23500000000000001,xw,mixed,0.7071519985359637,1.2233329837433533,0.998783399157033
0.1,0.23500000000000001,xw,beta,0.3909223888451619,1.488325361018729,0.9919342726650644
0.1,0.26,,no,2.4885976858218966,0.0,0.0
0.1,0.26,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.26,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.26,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.26,x,no,1.66392946639823,0.5240424316876929,0.9713685691786489
0.1,0.26,x,D,1.4532551970640306,0.6311552009589386,0.999931232742447
0.1,0.26,x,mixed,0.7378519426302633,0.9262853393089998,0.9990265671469359
0.1,0.26,x,beta,0.769092645174118,0.8502240168973128,0.9990899954686612
0.1,0.26,w,no,1.9912943288818472,0.6196881308578047,0.9996180711257615
0.1,0.26,w,D,1.2543388505091386,0.8068396813379648,0.9984398089350712
0.1,0.26,w,mixed,0.6995485378969902,1.0643540829372113,0.999265293936501
0.1,0.26,w,beta,0.2353594799151595,1.571084424596964,0.9547713392699846
0.1,0.26,xw,no,1.7502467214759818,0.8610645004518899,0.9999533562669177
0.1,0.26,xw,D,1.2654418239975498,1.0,1.0
0.1,0.26,xw,mixed,0.806924226639954,1.202506977910297,0.9988595930827219
0.1,0.26,xw,beta,0.4542423796810169,1.462210080907017,0.9929265579205633
0.1,0.28500000000000003,,no,2.4885976858218966,0.0,0.0
0.1,0.28500000000000003,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
